IDH2hyper	WT1hyper	CEBPahyper	TET2Hyper	IDH1Hyper	DNMT3Ahyper
PYROXD2	HPSE2	LOXL4	ABCC2	KAZALD1	WDR37
ENTPD7	ENTPD7	HPSE2	SH3PXD2A	BTRC	TCF7L2
BLOC1S2	SCD	ENTPD7	VWA2	FBXW4	CAMK1D
FAM178A	FGF8	ABCC2	ADARB2	NOLC1	PTPRE
FBXW4	ABLIM1	SCD	CHST15	ELOVL3	GPR123
KCNIP2	ECHDC3	NDUFB8	DOCK1	SH3PXD2A	ADARB2
LDB1	GFRA1	PAX2	EBF3	ITPRIP	AGAP11
PPRC1	HSPA12A	LZTS2	STK32C	C10orf110	CD3D
NOLC1	VAX1	PDZD7	KNDC1	IDI2	TTLL10
ELOVL3	EMX2	KAZALD1	ARMC4	XPNPEP1	C1orf183
PITX3	EMX2OS	FBXW4	PFKP	ADD3	KIRREL3
GBF1	PLEKHA1	NOLC1	ITGB1	DUSP5	KCNQ1OT1
FBXL15	HTRA1	FBXL15	KLF6	WDR37	KCNQ1
MIR146B	FAM53B	MIR146B	RASSF4	CUGBP2	NBPF9
C10orf95	DOCK1	C10orf95	08-3__	TCF7L2	LOC645166
TMEM180	FAM196A	TMEM180	SYT15	VWA2	LOC728661
SUFU	FOXI2	C10orf26	LOC100216001	FAM160B1	CDK11B
C10orf26	EBF3	CNNM2	MAPK8	NSMCE4A	PHRF1
NT5C2	BNIP3	PCGF6	ARHGAP22	PSTK	DAK
CALHM2	DPYSL4	SH3PXD2A	IL2RA	CHST15	NDUFS2
CALHM1	STK32C	COL17A1	PFKFB3	LHPP	ADAMTS4
SH3PXD2A	C10orf93	GSTO2	CTNNA3	FAM53B	FCGR2A
ITPRIP	GPR123	DUSP5	COL13A1	CAMK1D	RPS6KA4
C10orf110	UTF1	CUGBP2	LOC283050	CTBP2	CCDC90B
IDI2	VENTX	ACSL5	RGR	PTPRE	TSPAN4
SORCS3	PAOX	TCF7L2	FAM190B	EBF3	AP2A2
SORCS1	ITGA8	VWA2	MIR346	BNIP3	TMCC2
XPNPEP1	LOC100128811	ABLIM1	GRID1	JAKMIP3	APPL2
CUGBP2	GPR158	FAM160B1	BMPR1A	STK32C	SSH1
DUSP5	MYO3A	ECHDC3	SNCG	INPP5A	GSG1
RBM20	PTCHD3	C10orf82	MYOF	C10orf93	EP400
WDR37	MKX	VAX1	ZFYVE27	KNDC1	GALNT9
TECTB	KIAA1462	SLC18A2	APITD1	PRAP1	GOLGA3
ACSL5	PFKP	EMX2OS	CORT	PAOX	LOC100292680
TCF7L2	GJD4	EMX2	CASZ1	FRMD4A	SLCO1B3
CASP7	LOC441666	FAM45B	MMP13	ADARB2	PKP2
ADRB1	LOC84856	FAM45A	C1orf127	VIM	SDCCAG8
VWA2	CXCL12	RGS10	MUC2	PIP4K2A	POU6F1
FAM160B1	PPYR1	BAG3	NCAM1	ABI1	GRASP
C10orf84	GDF10	PPAPDC1A	HTR3A	ANKRD26	ESYT1
C10orf46	ARHGAP22	ADARB2	TMPRSS13	ACBD5	VWF
NANOS1	SLC18A3	TACC2	TMPRSS4	LOC387646	CSRP2
FAM45B	CHAT	PLEKHA1	CD3D	SVIL	UBAC2
FAM45A	C10orf53	HTRA1	LOC149620	MAP3K8	COL4A2
GRK5	PHYHIPL	HMX3	MCAM	ZNF438	ARHGEF7
RGS10	FAM13C	HMX2	LOC441897	PFKP	ATP11A
BAG3	TET1	BUB3	MICAL2	ITGB1	LAMP1
ADARB2	C10orf35	CHST15	UBASH3B	CREM	ATP8A2
FGFR2	DIP2C	FAM53B	OR10G8	DIP2C	PRDM16
NSMCE4A	SYNPO2L	CTBP2	VWA5A	KLF6	C13orf30
BTBD16	MYST4	ADAM12	PARVA	ZNF37B	KIAA0319L
DMBT1	ITIH5	DOCK1	PKNOX2	RET	CDC42BPB
CUZD1	C10orf41	FAM196A	MUC5B	HNRNPF	PACS2
PSTK	KCNMA1	FOXI2	GLB1L2	RASSF4	RPGRIP1
BUB3	FLJ45983	PTPRE	SLC16A1	LOC100133308	CEBPE
GPR26	GATA3	CCDC3	PSMA1	ALOX5	CLDN19
CHST15	ZMIZ1	EBF3	TSPAN2	08-3__	C1orf228
LHPP	C10orf58	BNIP3	KRTAP5-5	GDF10	NGB
FAM53B	PCDH21	STK32C	HCCA2	WDFY4	MIR1260
CAMK1D	GRID1	INPP5A	PTGFRN	SGMS1	CCDC88C
CTBP2	SLC16A12	NKX6-2	LOC402778	BICC1	SNORD115-1
ADAM12	GPR120	UTF1	MRGPRX4	LOC728640	CIB1
DOCK1	TMEM20	VENTX	SAA1	IL2RA	KCNAB2
FAM196A	APITD1	ADAM8	TNNT3	CCDC6	SSTR5
NPS	STXBP3	TUBGCP2	H19	PFKFB3	LOC146336
PTPRE	ALX3	PRAP1	SCNN1D	ARID5B	ABCA3
MGMT	SLC6A17	C10orf125	INS-IGF2	ADO	ZNF213
EBF3	KCNC4	PAOX	INS	REEP3	AXIN1
UCMA	TTLL10	SPRN	TNFRSF1B	HK1	CREBBP
TCERG1L	C11orf87	NMT2	ASCL2	COL13A1	MGRN1
BNIP3	BTG4	FAM188A	TRPM5	PRF1	ROGDI
JAKMIP3	C11orf88	C1QL3	BDNFOS	C10orf105	MIR140
DPYSL4	MIR34C	C10orf140	BDNF	CDH23	WWP2
STK32C	DIXDC1	OTUD1	PRAMEF11	C10orf54	VAC14
PWWP2B	ZBTB16	KIAA1217	OSBPL5	CCDC109A	BANP
INPP5A	DSCAML1	MYO3A	MRGPRG	BMS1P4	LMF1
C10orf93	POU2F3	PDSS1	C11orf36	DUPD1	ITGAE
KNDC1	TMEM136	ABI1	ABTB2	DLG5	CACNB1
ADAM8	BSX	PTCHD3	ATAD3C	ZMIZ1	GHDC
TUBGCP2	SCN3B	MKX	RHOG	ANXA11	ANKFY1
ZNF511	NRGN	KIAA1462	MIR670	MAT1A	PPY
C10orf125	ROBO3	PFKP	PRDM11	GRID1	G6PC3
ECHS1	TMEM45B	ZNF438	CHST1	MMRN2	MINK1
PAOX	WNT2B	ARHGAP12	SLC39A13	SNCG	PDK2
BEND7	BRSK2	ITGB1	KIAA1026	CPEB3	SCPEP1
LOC619207	RRAS2	NRP1	CRNN	HHEX	MSI2
CYP2E1	SYT6	CREM	LCE3E	MYOF	LPO
HSPA14	CALCA	CCNY	LCE1D	PIPSL	MPO
NMT2	DENND2C	DIP2C	S100A5	SORBS1	LOC146880
CUBN	NGF	BMS1	SLC27A3	ENTPD1	HRNBP3
VIM	NHLH2	RASGEF1A	PMVK	DNTT	RPTOR
